type,date,price,shares,return
buy,2022-05-10 04:00:00,165.7349395751953,50.214468166760184,
sell,2022-05-16 04:00:00,160.3501434326172,,-0.03249041002687909
buy,2022-05-17 04:00:00,162.84925842285156,49.44386760439012,
sell,2022-05-23 04:00:00,156.033447265625,,-0.04185349827954847
buy,2022-05-24 04:00:00,150.77833557128906,51.167145991013356,
sell,2022-05-31 04:00:00,169.48731994628906,,0.12408270925735389
buy,2022-06-01 04:00:00,168.50941467285156,51.464082645790185,
sell,2022-06-06 04:00:00,175.4438018798828,,0.0411513340099949
buy,2022-06-07 04:00:00,175.01902770996094,51.58898685347943,
sell,2022-06-13 04:00:00,150.2449188232422,,-0.14155094569359655
buy,2022-06-14 04:00:00,150.3634490966797,51.548319678345834,
sell,2022-06-21 04:00:00,139.85321044921875,,-0.06989889305281322
buy,2022-06-22 04:00:00,134.79566955566406,53.482415451798,
sell,2022-06-27 04:00:00,138.4801788330078,,0.027334032981098304
buy,2022-06-28 04:00:00,136.9984588623047,54.06085964536385,
sell,2022-07-05 04:00:00,136.9984588623047,,0.0
buy,2022-07-06 04:00:00,133.9955596923828,55.27238718349282,
sell,2022-07-11 04:00:00,136.0797882080078,,0.015554459568733614
buy,2022-07-12 04:00:00,137.42323303222656,54.732046217519,
sell,2022-07-18 04:00:00,142.82650756835938,,0.039318493801304415
buy,2022-07-19 04:00:00,149.07931518554688,52.43642958507595,
sell,2022-07-25 04:00:00,151.12405395507812,,0.013715777852791518
buy,2022-07-26 04:00:00,149.1978302001953,53.113411925586426,
sell,2022-08-01 04:00:00,157.6238250732422,,0.056475317782710255
buy,2022-08-02 04:00:00,156.31002807617188,53.559833962296636,
sell,2022-08-08 04:00:00,156.3396453857422,,0.00018947798765591424
buy,2022-08-09 04:00:00,156.8533172607422,53.38443327064045,
sell,2022-08-15 04:00:00,161.18975830078125,,0.027646473251378298
buy,2022-08-16 04:00:00,164.2124481201172,52.401775836289616,
sell,2022-08-22 04:00:00,156.27593994140625,,-0.048330734177384566
buy,2022-08-23 04:00:00,156.9884490966797,52.1639446757757,
sell,2022-08-29 04:00:00,154.0988311767578,,-0.018406563900394572
buy,2022-08-30 04:00:00,151.7436065673828,52.97358541782507,
sell,2022-09-06 04:00:00,150.78372192382812,,-0.006325700734735365
buy,2022-09-07 04:00:00,155.95928955078125,51.21563708039782,
sell,2022-09-12 04:00:00,162.07493591308594,,0.039213094519216805
buy,2022-09-13 04:00:00,156.2363739013672,53.12956829626412,
